timestamp,open,high,low,close,volume
1731512580000,214.5,214.78,214.38,214.67,151.2845
1731512640000,214.67,214.93,214.42,214.83,185.1242
1731512700000,214.83,215.29,214.58,215.29,612.0899
1731512760000,215.29,215.53,215.13,215.33,318.7517
1731512820000,215.33,215.58,215.12,215.54,253.7425
1731512880000,215.54,215.85,215.48,215.74,279.6314
1731512940000,215.74,215.77,215.23,215.66,472.9853
1731513000000,215.66,215.99,215.11,215.97,583.3062
1731513060000,215.97,215.98,215.22,215.48,434.1486
1731513120000,215.48,215.48,214.79,215.29,459.4844
1731513180000,215.29,215.31,214.89,215.12,263.2645
1731513240000,215.12,215.46,214.79,215.45,385.6459
1731513300000,215.45,215.85,215.3,215.84,532.4569
1731513360000,215.84,216.0,215.63,215.8,225.2718
1731513420000,215.8,216.3,215.73,216.3,358.0619
1731513480000,216.3,216.35,216.19,216.23,144.5527
